ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-05-04T22:00:03.460521629Z,2025-05-04T22:00:03.459959101Z,0,1,42005804,T,A,0,20183.000000000,1,0,13656,23060,NQM5
2025-05-04T22:00:03.461095380Z,2025-05-04T22:00:03.460633183Z,0,1,42005804,T,A,0,20183.000000000,1,0,13140,23064,NQM5
2025-05-04T22:00:03.613506144Z,2025-05-04T22:00:03.613047649Z,0,1,42005804,T,B,0,20189.750000000,1,0,14548,23234,NQM5
2025-05-04T22:00:03.897565364Z,2025-05-04T22:00:03.897054083Z,0,1,42005804,T,A,0,20183.250000000,1,0,14462,23580,NQM5
2025-05-04T22:00:03.898521943Z,2025-05-04T22:00:03.897722885Z,0,1,42005804,T,A,0,20183.000000000,1,0,13245,23588,NQM5
2025-05-04T22:00:04.072697018Z,2025-05-04T22:00:04.072146579Z,0,1,42005804,T,B,0,20189.250000000,3,0,14478,23794,NQM5
2025-05-04T22:00:04.148430278Z,2025-05-04T22:00:04.147849115Z,0,1,42005804,T,A,0,20186.250000000,1,0,14207,24028,NQM5
2025-05-04T22:00:04.149523200Z,2025-05-04T22:00:04.148973357Z,0,1,42005804,T,A,0,20185.250000000,1,0,14503,24068,NQM5
2025-05-04T22:00:04.316051663Z,2025-05-04T22:00:04.315540135Z,0,1,42005804,T,B,0,20188.750000000,2,0,13720,24303,NQM5
2025-05-04T22:00:04.369541482Z,2025-05-04T22:00:04.368988689Z,0,1,42005804,T,A,0,20185.500000000,1,0,14305,24412,NQM5
2025-05-04T22:00:04.389213016Z,2025-05-04T22:00:04.388708597Z,0,1,42005804,T,A,0,20182.500000000,5,0,14041,24641,NQM5
2025-05-04T22:00:04.391157137Z,2025-05-04T22:00:04.390613553Z,0,1,42005804,T,A,0,20182.500000000,1,0,13664,24724,NQM5
2025-05-04T22:00:04.392115135Z,2025-05-04T22:00:04.391212375Z,0,1,42005804,T,B,0,20183.750000000,1,0,13886,24773,NQM5
2025-05-04T22:00:04.392115135Z,2025-05-04T22:00:04.391212375Z,0,1,42005804,T,B,0,20184.000000000,3,0,13886,24773,NQM5
2025-05-04T22:00:04.650646143Z,2025-05-04T22:00:04.649880583Z,0,1,42005804,T,B,0,20183.750000000,1,0,77284,25490,NQM5
2025-05-04T22:00:04.753375406Z,2025-05-04T22:00:04.752925541Z,0,1,42005804,T,A,0,20177.250000000,1,0,14244,25609,NQM5
2025-05-04T22:00:04.859990208Z,2025-05-04T22:00:04.859587749Z,0,1,42005804,T,A,0,20177.250000000,1,0,14414,25651,NQM5
2025-05-04T22:00:05.241268506Z,2025-05-04T22:00:05.240653735Z,0,1,42005804,T,B,0,20183.250000000,3,0,14317,25801,NQM5
